Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total use of products
Fabricated metal products,2017,219,16256,1259,624,1347,180563,4160,2884,6965,46132,30468,7647,14148,34707,18055,5815,5532,20924,618,110,6067,1092,1279,9819,10042,4688,650,402,294,3184,321,416,1346,2573,846,1945,446,1186,837,49,13873,3649,690,373,---,39,40,2010,3939,36,3663,9133,704,3867,4594,886,539,2944,45,4785,93,990,2755,5536,7000,10637,2006,287,5765,8883,547691,84199,18317,---,---,---,46,50280,---,241,---,---,---,166,---,---,---,142,---,---,701083
Machinery,3477,37,22216,5853,3663,781,69780,686,202,1515,5973,46836,423,3045,45346,5211,197,1279,7961,52,3,1281,1869,69,7626,3783,3789,399,202,168,1122,22,73,41,692,107,58,3841,2441,71,36,1632,1884,10,54,693,---,102,357,2229,21,2921,4277,557,7438,6545,2995,1663,1201,202,402,42,424,124,1404,9626,1758,749,48,7686,4564,313833,53051,437419,---,---,---,1569,146015,---,2857,---,---,---,129,---,---,---,13627,---,---,968500
Computer and electronic products,29,1,116,23,97,118,12084,1712,962,2685,7545,9584,49873,5532,29718,39082,1247,2831,4092,558,47,1304,1795,402,6689,3323,65876,1886,507,613,2823,7,79,1,311,3,5,61,165,4072,761,33506,13318,1612,1852,73,1692,1,427,398,1854,8887,15251,18021,7209,1038,1930,13429,1641,222,768,36,271,506,267,5295,20587,9619,0,2793,2364,423491,227590,296898,---,474,---,-5992,129020,---,20167,---,---,---,2816,---,---,---,5186,---,---,1099650
"Electrical equipment, appliances, and components",7097,54,280,56,631,25,75428,572,172,2533,4403,22076,3010,16715,10345,2391,144,1118,2103,77,4,699,139,174,1719,1401,2935,689,147,920,535,2,334,35,230,282,2,56,235,10,---,5900,419,198,105,88,---,7,1182,690,0,4415,8172,113,2701,1254,559,17,1382,872,922,51,671,978,1043,6730,4844,7248,113,1771,5722,217948,140598,68390,---,15892,---,-1109,46122,---,930,---,---,---,136,---,---,---,951,---,---,489858
"Motor vehicles, bodies and trailers, and parts",1159,79,2272,1007,370,48,4068,2775,846,1232,1930,15827,1092,885,264703,4403,614,1124,6643,101,2,1754,234,179,1968,959,11683,8938,3022,666,9668,---,76,---,10373,1152,1,138,1923,236,174,1602,846,276,42,---,---,---,---,5470,---,185,5056,789,23011,2236,1042,991,3077,200,3742,89,296,314,2421,19453,10693,325,4352,11151,2113,464094,496830,385059,---,---,---,25027,137221,---,19469,---,---,---,19354,---,---,---,64643,---,---,1611697
Other transportation equipment,---,22,---,4,---,---,22,22,---,---,84,276,---,---,1307,94898,---,---,---,---,---,---,---,---,---,---,0,3,---,---,---,2235,1334,1054,68,242,---,2393,---,---,---,8,---,---,---,---,---,---,---,---,---,---,2764,98,100,119,---,---,---,---,0,---,297,---,---,14,71439,1047,3,0,167,180018,60110,80580,---,---,---,7015,113124,---,54724,---,---,---,2289,---,---,---,163,---,---,498023
Furniture and related products,0,---,---,---,---,---,34925,310,0,---,---,248,141,2,26,18,3878,288,---,---,---,0,---,---,---,342,988,220,---,17,2051,---,---,0,---,---,---,0,---,1,---,123,466,---,---,---,---,8586,68,---,10,4,649,7,4,---,---,307,170,1,362,800,638,4,414,568,---,---,88,19,2083,58822,148156,44845,---,1233,---,-2389,5108,---,0,---,---,---,3,---,---,---,896,---,---,256673
Miscellaneous manufacturing,219,1,83,30,11,---,3243,29,97,46,85,2818,2,725,3174,28,8,7337,69,53,186,0,5,1,392,282,1632,500,177,10,1230,0,1,---,12,30,0,118,148,4,3,144,119,88,56,23,---,0,371,104,10,24,3156,12,3371,554,492,30047,39446,701,2313,232,307,51,1239,3887,2430,738,---,8304,127,121139,375619,80589,---,---,---,-2289,54392,---,67,---,---,---,14,---,---,---,1117,---,---,630648
Food and beverage and tobacco products,53164,157,---,---,---,---,---,32,741,6,---,---,---,---,---,---,---,38,231724,21,518,350,762,747,8825,246,4188,1,3527,1230,2218,387,1,335,33,0,---,10,---,32,4,---,391,---,---,---,---,---,---,---,---,---,6259,139,1,---,5454,7,7523,4683,21942,1376,7618,7990,112473,1530,4001,148,789,118819,---,610441,1493335,---,---,---,---,-1355,92958,---,---,---,---,---,---,---,---,---,---,---,---,2195379
Textile mills and textile product mills,17,8,---,1,---,---,3485,640,326,---,2,849,0,0,2899,985,3437,1770,93,10104,2164,3953,327,25,4,3134,2669,57,100,4935,1709,---,---,34,30,---,0,25,3,1,266,8,8,---,---,---,---,1,83,420,---,---,559,19,230,257,28,90,450,2104,1503,0,189,1605,488,723,625,547,7,2684,41,56718,104507,1200,---,3158,---,-1449,10155,---,---,---,---,---,7,---,---,---,2,---,---,174298
Apparel and leather and allied products,32,---,---,---,---,0,---,---,0,---,---,---,---,---,2223,---,---,177,18,23,1562,---,26,0,---,0,383,34,0,247,265,---,---,---,---,---,---,---,---,0,0,3,0,---,---,---,---,---,---,0,---,---,16,0,100,97,2,0,6,---,0,19,37,7,0,1581,115,32,185,1768,46,9007,518324,---,---,---,---,-3364,6023,---,---,---,---,---,---,---,---,---,---,---,---,529990
Paper products,476,0,177,162,36,33,5749,1528,2503,2418,2515,2120,613,1525,7556,792,1650,2409,32876,500,35,54690,10979,317,6632,5885,10223,321,1632,605,2520,45,57,3,332,2133,31,1430,272,1492,90,491,493,1157,773,2498,3,1,1069,1748,453,846,4239,723,7840,514,472,1640,2103,958,1807,126,360,4847,7771,1638,351,3499,251,18460,88,232585,73676,---,---,---,---,-929,25006,---,---,---,---,---,---,---,---,---,---,---,---,330337
Printing and related support activities,10,---,12,1,---,10,64,2,---,---,10,4,---,2,4,---,---,---,70,---,0,---,1294,1,98,---,11511,293,177,190,9124,7,9,---,287,164,4,282,14,3378,643,452,6904,1107,1763,5299,---,---,158,726,641,457,6192,995,3507,19,1118,1980,4398,146,2260,848,395,1031,1580,1601,1047,2187,57,11180,517,86231,11992,---,---,---,---,-436,2884,---,---,---,---,---,---,---,---,---,---,---,---,100671
Petroleum and coal products,10103,376,9683,3429,1440,24281,71044,1003,880,2860,1608,1091,188,947,548,232,303,1201,3820,71,11,1647,708,21871,12102,958,6456,1608,549,342,2650,46773,5465,7879,39527,7333,296,18144,4288,347,97,750,850,4923,4815,145,1313,48,6917,3299,53,1726,2864,901,9696,2687,2326,1219,1573,956,1524,297,1403,1095,6322,3405,16838,1620,2888,125352,37879,559844,472428,---,---,---,---,8552,168105,---,---,---,---,---,---,---,---,---,---,---,---,1208930
Chemical products,39243,1814,12954,2283,1222,1614,28984,8303,5271,2404,8665,2997,2463,3134,17341,2184,2254,7895,10953,11614,199,9486,5380,46766,288446,94461,4058,203,86,61,1965,2,183,3,393,37,2,61,570,571,334,764,2135,68,197,275,---,854,14466,240,194,377,74933,3328,16160,2429,1024,78485,27506,6905,1102,722,1763,104,2191,5985,4216,5531,124,62929,6125,947992,798355,2850,---,---,---,5362,247371,---,---,---,---,---,---,---,---,---,---,---,---,2001930
Plastics and rubber products,2379,98,198,1309,438,27,65910,1958,1432,957,2909,12180,2981,2728,33102,4099,4129,5270,27932,492,165,3154,3761,557,13055,25773,30348,2261,2356,712,7253,394,5,0,1483,289,54,2264,361,306,131,7052,1487,68,182,2870,0,21,2646,4365,32,2349,11283,150,4705,690,1382,14070,7899,2676,3166,79,518,264,13870,5034,4344,2042,50,19815,5867,384187,112808,539,---,512,---,722,35190,---,---,---,---,---,18,---,---,---,---,---,---,533976
Wholesale trade,990,7,527,55,---,1431,139,391,431,1105,928,2067,761,1786,4598,46,280,1636,4820,79,34,1273,117,156,4873,4303,45020,3453,740,31,16711,205,---,---,135,0,5,0,---,655,19,2335,85,18,31,47,5,---,---,15648,---,419,---,---,100,48,24,124,37,0,---,---,53,0,108,89,---,---,6,32,---,119013,---,---,---,---,---,---,3741,---,---,---,---,---,---,---,---,---,---,---,---,122754
Motor vehicle and parts dealers,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Food and beverage stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
General merchandise stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Other retail,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,884,---,685,587,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,0,---,---,2156,14437,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16593
Air transportation,---,---,2,6,87,505,300,130,163,147,239,160,17,19,178,50,69,90,347,10,3,112,115,59,119,239,6933,204,51,58,465,262,15,193,3078,72,9,1576,330,349,199,407,1777,5069,2543,108,361,6,10222,1858,574,3278,3839,306,3619,404,659,2670,331,256,696,119,295,167,2201,502,6784,5014,406,3402,66,74898,235878,---,---,---,---,---,46039,---,---,---,---,---,---,---,---,---,---,---,---,356815
